,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
163,port keats,-14.25,129.55,86.77,63,36,9.86,AU,1616806716
164,siirt,37.9326,41.9403,37.17,95,100,2.08,TR,1616806927
165,sao jose da coroa grande,-8.8978,-35.1478,77.67,83,100,6.33,BR,1616806928
166,xinqing,48.2333,129.5,36.57,83,100,2.95,CN,1616806928
167,reyes,-14.3167,-67.3833,74.3,92,98,2.39,BO,1616806928
168,rosario,-32.9468,-60.6393,66.2,82,90,16.11,AR,1616806929
169,meadow lake,34.8014,-106.5436,53.01,28,75,8.05,US,1616806929
170,hamilton,39.1834,-84.5333,55.4,67,90,5.75,US,1616806682
171,fanai,38.517,44.9745,41.5,64,18,4.07,IR,1616806929
172,rawson,-43.3002,-65.1023,59.72,65,9,8.01,AR,1616806930
173,san quintin,30.4833,-115.95,57.16,64,6,14.14,MX,1616806930
174,diamantino,-14.4086,-56.4461,72.91,85,33,2.46,BR,1616806637
175,damara,4.9608,18.7035,67.78,90,100,2.84,CF,1616806930
176,youghal,51.95,-7.8506,37.0,87,75,11.5,IE,1616806931
177,touros,-5.1989,-35.4608,77.0,83,75,6.91,BR,1616806660
178,kunashak,55.7032,61.5498,21.2,93,100,2.3,RU,1616806931
179,palmer,42.1584,-72.3287,64.4,45,75,26.46,US,1616806931
180,bubaque,11.2833,-15.8333,76.68,73,0,14.45,GW,1616806932
181,qaanaaq,77.484,-69.3632,-9.54,67,100,5.01,GL,1616806836
182,darhan,49.4867,105.9228,29.39,93,100,25.77,MN,1616806932
183,barrow,71.2906,-156.7887,-9.4,77,1,4.45,US,1616806827
184,urumqi,43.801,87.6005,42.8,81,75,4.47,CN,1616806933
185,aginskoye,51.1,114.53,31.05,80,100,10.18,RU,1616806933
186,mao,39.8885,4.2658,53.6,94,0,4.61,ES,1616806933
187,provideniya,64.3833,-173.3,8.11,88,100,11.63,RU,1616806641
188,tabas,33.5959,56.9244,73.15,28,0,6.51,IR,1616806934
189,tura,25.5198,90.2201,72.36,16,0,2.42,IN,1616806934
190,manta,-0.95,-80.7333,78.8,78,75,3.44,EC,1616806778
191,sayyan,15.1718,44.3244,53.8,13,27,4.14,YE,1616806670
192,penzance,50.1186,-5.5371,43.0,87,40,17.27,GB,1616806935
193,labuan,5.2767,115.2417,80.6,94,20,4.9,MY,1616806935
194,krasnozavodsk,56.45,38.2167,31.95,97,100,2.91,RU,1616806936
195,berlevag,70.8578,29.0864,33.24,82,100,25.84,NO,1616806865
196,talcahuano,-36.7167,-73.1167,60.8,67,0,12.66,CL,1616806936
197,dunedin,-45.8742,170.5036,66.99,58,100,1.01,NZ,1616806936
198,kangaatsiaq,68.3065,-53.4641,-11.15,89,100,10.58,GL,1616806937
